"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","11","26","36","6","61.274956","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","11","18","28","2","16.551735","0","0"
"Globals","11","545","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","11","35","40","1","26.352045","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","11","860","965","1","688.424133","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","11","187","187","1","150.975128","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","11","4","4","1","2.786005","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","11","14","14","1","8.110452","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","11","59","64","1","99.925217","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","60","60","1","94.024803","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","4","4","1","5.555624","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","11","2","2","1","3.653028","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","4","4","1","5.565027","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","11","4","4","1","4.988358","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","30","30","1","34.627110","0","0"
"/Game/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","11","105","120","1","135.415955","0","0"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","11","105","120","1","140.716980","0","0"
