"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","67","72","6","31.154156","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","54","60","2","24.540688","0","0"
"Globals","16","2121","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","32","34","1","19.236542","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","849","874","1","354.252075","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","145","145","1","62.830097","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","17","17","1","5.753186","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","8","8","1","2.794328","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","16","45","47","1","30.818180","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","24","24","1","6.178865","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","8","8","1","2.777269","0","0"
"/Game/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","16","92","98","1","85.212410","0","0"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","16","92","98","1","85.543533","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","16","45","45","1","45.158489","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","2","2","1","0.284255","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","8","8","1","5.172287","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","16","8","8","1","17.839443","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","12","12","1","7.178507","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","16","544","594","1","146.730896","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","123","123","1","28.313206","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","4","1","0.274771","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","2","2","1","0.212327","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","10","10","1","0.956609","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","10","10","1","0.913628","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","24","24","1","4.145491","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","8","1","8.091894","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","17","18","1","2.083577","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","16","21","21","1","21.356514","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","16","30","30","1","25.114540","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","16","2","2","1","2.338087","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","17","17","1","1.411926","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","7","8","1","2.310272","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Statue.M_Statue","16","21","21","1","23.012758","0","0"
"/Game/MobileStarterContent/Props/Materials/M_TableRound.M_TableRound","16","21","21","1","22.368412","0","0"
"/Game/MobileStarterContent/Props/Materials/M_StatueGlass.M_StatueGlass","16","40","40","1","47.029636","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Chair.M_Chair","16","21","21","1","21.851469","0","0"
"/Game/MobileStarterContent/Materials/M_Basic_Floor.M_Basic_Floor","16","21","21","1","22.646627","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","16","21","21","1","26.634384","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Pine.M_Wood_Pine","16","21","21","1","6.288890","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Oak.M_Wood_Oak","16","21","21","1","27.786667","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","16","21","21","1","37.692181","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","16","21","21","1","41.716732","0","0"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","16","21","21","1","44.188980","0","0"
"/Game/MobileStarterContent/Materials/M_Metal_Brushed_Nickel.M_Metal_Brushed_Nickel","16","21","21","1","48.832897","0","0"
"/Game/MobileStarterContent/Materials/M_Ground_Moss.M_Ground_Moss","16","21","21","1","39.064774","0","0"
"/Game/MobileStarterContent/Materials/M_Water_Ocean.M_Water_Ocean","16","21","21","1","40.615990","0","0"
"/Game/MobileStarterContent/Materials/M_Water_Lake.M_Water_Lake","16","21","21","1","39.410679","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Panel.M_Tech_Panel","16","21","21","1","35.620049","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","16","21","21","1","38.578308","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","16","21","21","1","36.353161","0","0"
"/Game/MobileStarterContent/Props/Materials/M_Lamp.M_Lamp","16","21","21","1","36.732395","0","0"
"/Game/MobileStarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","16","21","21","1","36.960892","0","0"
"/Game/MobileStarterContent/Materials/M_Rock_Slate.M_Rock_Slate","16","21","21","1","4.330241","0","0"
